id,marca,modelo,ano,quilometragem,ultimo_reparo,qntd_reparos,cambio
134,Peugeot,5008,2023,243872,2024-09-02,22,Manual
135,Ford,F-150,2008,259264,2024-09-02,21,Manual
136,Renault,Kwid,2011,55934,2024-08-23,2,Automático
137,Peugeot,3008,2018,110550,2024-06-13,3,Automático
138,Toyota,Corolla,2019,274813,2024-08-30,21,Manual
139,Volkswagen,Arteon,2017,146153,2024-07-21,5,Automático
140,Mitsubishi,Eclipse Cross,2019,185959,2024-09-04,7,Automático
141,Nissan,Frontier,2018,206018,2024-08-29,7,Automático
142,BMW,740i,2018,149760,2024-08-05,5,Automático
143,Peugeot,301,2007,126612,2024-07-20,5,Automático
144,Fiat,Doblò,2015,5846,2024-09-03,1,Automático
145,Ford,F-150,2007,162728,2024-08-24,11,Manual
146,Nissan,X-Trail,2010,27056,2024-08-20,1,Automático
147,Fiat,Fiorino,2017,93099,2024-09-08,6,Manual
148,Jeep,Grand Cherokee,2007,110449,2024-09-03,11,Manual
149,Ford,F-150,2021,105505,2024-09-02,7,Manual
150,Mercedes-Benz,S-Class,2021,162140,2024-08-14,6,Automático
151,Mitsubishi,Lancer,2021,24502,2024-04-11,1,Automático
152,Toyota,Hilux,2020,44232,2024-07-28,3,Manual
153,Mercedes-Benz,C-Class,2019,53876,2024-06-18,3,Manual
154,Ford,Edge,2008,29780,2024-09-03,1,Automático
155,Volkswagen,Touareg,2007,113869,2024-08-11,10,Manual
156,Honda,Civic,2021,62609,2024-07-27,2,Automático
157,Chevrolet,Cruz,2008,297944,2024-08-25,9,Automático
158,Jeep,Cherokee Trailhawk,2016,199574,2024-07-29,6,Automático
159,Fiat,Strada,2011,217799,2024-09-07,7,Automático
160,BMW,530i,2010,106479,2024-08-26,10,Manual
161,Ford,Focus,2019,96476,2024-06-28,3,Automático
162,Kia,Carnival,2012,257482,2024-08-24,9,Automático
163,Subaru,Ascent,2015,116773,2024-09-04,3,Automático
164,Mitsubishi,Mirage,2008,113869,2024-07-31,3,Automático
165,Nissan,Versa,2019,79512,2024-07-26,7,Manual
166,Subaru,Outback,2023,170382,2024-08-20,11,Manual
167,Volkswagen,Amarok,2008,291507,2024-08-14,11,Automático
168,Chevrolet,Camaro,2007,76566,2024-08-25,2,Automático
169,Honda,Insight,2022,24976,2024-08-31,2,Manual
170,Mercedes-Benz,C-Class,2011,9941,2024-06-11,1,Manual
171,Ford,Ranger,2019,137311,2024-08-20,9,Manual
172,Honda,HR-V,2019,35936,2024-04-08,1,Automático
173,Jeep,Grand Cherokee,2018,263336,2024-09-06,21,Manual
174,Renault,Zoe,2019,34067,2024-07-18,2,Manual
175,Mitsubishi,Lancer,2017,136555,2024-07-23,5,Automático
176,Hyundai,Santa Fe,2009,203673,2024-09-04,19,Manual
177,Volkswagen,Amarok,2014,295475,2024-08-11,11,Automático
178,Mitsubishi,Galant,2016,281090,2024-08-24,18,Manual
179,Peugeot,308,2010,65967,2024-07-16,4,Manual
180,Mitsubishi,Eclipse Cross,2010,5776,2024-06-23,1,Automático
181,Hyundai,Elantra,2018,277272,2024-08-25,22,Manual
182,Chevrolet,Cruz,2020,205541,2024-08-28,13,Manual
183,Volkswagen,Passat,2009,29557,2024-04-08,1,Manual
184,BMW,i3,2009,281266,2024-08-11,9,Automático
185,Ford,F-150,2023,218939,2024-08-25,21,Manual
186,Peugeot,308,2020,28370,2024-06-09,1,Manual
187,Honda,Odyssey,2014,25195,2024-08-06,1,Automático
188,Ford,Focus,2021,196165,2024-09-07,17,Manual
189,Honda,Insight,2012,236809,2024-08-21,7,Automático
190,Ford,Explorer,2018,277391,2024-08-15,9,Automático
191,Honda,WR-V,2023,160807,2024-08-28,6,Automático
192,Chevrolet,Camaro,2013,124644,2024-07-22,4,Automático
193,Nissan,Altima,2015,10892,2024-07-27,1,Automático
194,Peugeot,301,2018,207617,2024-09-04,7,Automático
195,Volkswagen,Touareg,2023,21914,2024-08-10,2,Manual
196,Fiat,Tipo,2013,219754,2024-08-12,7,Automático
197,Subaru,BRZ,2008,176789,2024-07-23,5,Automático
198,Ford,Kuga,2011,280448,2024-08-31,27,Manual
199,BMW,740i,2007,34095,2024-04-11,1,Automático
200,Jeep,Gladiator,2019,131129,2024-08-28,13,Manual
201,Toyota,Land Cruiser,2019,231541,2024-09-05,19,Manual
202,Volkswagen,Up!,2021,299077,2024-08-16,10,Automático
203,Toyota,C-HR,2023,254197,2024-08-25,10,Automático
204,Renault,Duster,2007,268749,2024-09-04,21,Manual
205,Hyundai,Azera,2013,273591,2024-08-24,20,Manual
206,BMW,740i,2019,63727,2024-07-27,2,Automático
207,Renault,Clio,2014,278109,2024-08-27,11,Automático
208,Renault,Kwid,2023,148904,2024-07-14,4,Automático
209,Nissan,X-Trail,2012,158907,2024-08-10,5,Automático
210,Jeep,Wrangler,2009,230011,2024-08-22,8,Automático
211,Jeep,Cherokee Trailhawk,2011,261370,2024-08-14,10,Automático
212,Volkswagen,Jetta,2023,17659,2024-06-30,1,Automático
213,Renault,Logan,2013,162004,2024-09-04,5,Automático
214,Fiat,Bravo,2011,56220,2024-08-05,2,Automático
215,Mitsubishi,Pajero,2009,281559,2024-08-04,9,Automático
216,Toyota,Yaris,2020,179987,2024-09-07,15,Manual
217,BMW,320i,2021,270471,2024-09-06,22,Manual
218,Renault,Kangoo,2014,153118,2024-09-04,12,Manual
219,Nissan,Navara,2017,37127,2024-03-23,1,Automático
220,Chevrolet,Tracker,2021,176420,2024-09-08,14,Manual
221,Mitsubishi,ASX,2017,203624,2024-08-29,18,Manual
222,Fiat,Toro,2007,183405,2024-08-29,15,Manual
223,Toyota,Vios,2016,64110,2024-05-30,2,Automático
224,Subaru,Ascent,2018,190949,2024-08-04,7,Automático
225,Hyundai,Tucson,2007,116798,2024-08-12,11,Manual
226,Mitsubishi,Pajero,2011,87701,2024-08-21,8,Manual
227,Chevrolet,Spin,2009,115128,2024-08-21,11,Manual
228,Volkswagen,Gol,2012,49472,2024-06-08,1,Automático
229,Mercedes-Benz,GLE,2019,72087,2024-08-19,5,Manual
230,Renault,Zoe,2023,268921,2024-09-03,20,Manual
231,Subaru,Legacy,2009,239693,2024-08-26,19,Manual
232,Ford,EcoSport,2020,20795,2024-06-22,1,Automático
233,Peugeot,3008,2021,124287,2024-08-25,12,Manual
234,Kia,Sportage,2021,124315,2024-08-13,11,Manual
235,Jeep,Gladiator,2019,124740,2024-06-30,4,Automático
236,Nissan,Frontier,2008,234076,2024-08-26,16,Manual
237,Kia,Picanto,2016,295427,2024-08-25,23,Manual
238,Subaru,Crosstrek,2008,17072,2024-04-11,1,Automático
239,Hyundai,Elantra,2010,283165,2024-08-31,11,Automático
240,Toyota,Etios,2021,27585,2024-06-15,1,Automático
241,Nissan,Kicks,2023,95334,2024-06-24,3,Automático
242,Honda,HR-V,2016,52486,2024-07-28,5,Manual
243,Renault,Kwid,2013,122266,2024-08-22,12,Manual
244,Nissan,March,2014,55985,2024-08-28,2,Automático
245,Hyundai,Sonata,2008,215413,2024-09-01,20,Manual
246,Ford,Ranger,2009,120890,2024-08-28,9,Manual
247,Fiat,Uno,2008,37951,2024-08-11,2,Manual
248,Hyundai,Kona,2007,256987,2024-08-20,8,Automático
249,Kia,Seltos,2017,185185,2024-09-05,18,Manual
250,Honda,Pilot,2015,226672,2024-09-06,17,Manual
251,Renault,Zoe,2017,249097,2024-08-03,8,Automático
252,Mercedes-Benz,C-Class,2021,226653,2024-09-03,22,Manual
253,Fiat,Uno,2007,185433,2024-08-31,15,Manual
254,Peugeot,Expert,2016,186911,2024-07-26,6,Automático
255,Jeep,Wrangler,2007,276384,2024-08-04,9,Automático
256,Nissan,March,2021,106488,2024-08-11,8,Manual
257,Renault,Captur,2008,115950,2024-09-01,3,Automático
258,Chevrolet,Cobalt,2008,16056,2024-04-21,1,Manual
259,Renault,Kwid,2012,278676,2024-09-08,10,Automático
260,Subaru,Legacy,2007,245372,2024-09-06,21,Manual
261,Volkswagen,Amarok,2021,99399,2024-08-04,7,Manual
262,Peugeot,Boxer,2009,202578,2024-08-31,7,Automático
263,Ford,Explorer,2014,184986,2024-08-27,18,Manual
264,Honda,HR-V,2021,289092,2024-08-23,11,Automático
265,Jeep,Liberty,2018,124466,2024-07-06,4,Automático
266,Toyota,RAV4,2020,278815,2024-09-08,27,Manual
267,Hyundai,i30,2022,108732,2024-07-14,4,Automático
268,Nissan,Altima,2009,269299,2024-08-27,26,Manual
269,Subaru,Forester,2020,49136,2024-08-04,4,Manual
270,Fiat,Argo,2007,213173,2024-08-24,18,Manual
271,Jeep,Wrangler,2022,41757,2024-03-28,1,Automático
272,Mitsubishi,ASX,2009,162745,2024-08-20,13,Manual
273,Peugeot,301,2016,190064,2024-09-08,16,Manual
274,BMW,530i,2019,166996,2024-08-11,11,Manual
275,BMW,Z4,2021,57486,2024-08-14,3,Manual
276,BMW,X1,2018,201375,2024-08-31,14,Manual
277,Honda,Odyssey,2013,24696,2024-04-07,1,Automático
278,Subaru,Outback,2008,71946,2024-08-27,7,Manual
279,BMW,118i,2023,136975,2024-08-19,13,Manual
280,Toyota,Land Cruiser,2015,44161,2024-07-03,3,Manual
281,BMW,M3,2011,138299,2024-08-24,9,Manual
282,Kia,Niro,2015,189178,2024-07-29,7,Automático
283,Renault,Mégane,2017,178776,2024-08-26,13,Manual
284,Fiat,Uno,2020,118649,2024-08-24,11,Manual
285,Mercedes-Benz,CLA,2010,288217,2024-09-08,10,Automático
286,Mitsubishi,Pajero,2015,190047,2024-08-22,7,Automático
287,Mercedes-Benz,GLE,2021,83545,2024-09-02,7,Manual
288,Peugeot,208,2019,81546,2024-06-22,3,Automático
289,Jeep,Wrangler,2007,107601,2024-08-01,4,Automático
290,Kia,Stonic,2019,244712,2024-08-23,16,Manual
291,Honda,Fit,2016,174618,2024-07-26,6,Automático
292,Nissan,Rogue,2018,181905,2024-09-08,7,Automático
293,Peugeot,Boxer,2018,14240,2024-05-09,1,Automático
294,Renault,Duster,2015,165809,2024-08-06,6,Automático
295,Volkswagen,Up!,2018,97063,2024-08-27,3,Automático
296,Volkswagen,T-Cross,2007,258503,2024-09-06,8,Automático
297,Nissan,March,2020,167194,2024-08-15,6,Automático
298,BMW,740i,2015,14825,2024-03-20,1,Automático
299,Hyundai,Azera,2009,234909,2024-08-09,8,Automático
300,Mercedes-Benz,G-Class,2012,186492,2024-07-31,7,Automático
301,Ford,Explorer,2016,92948,2024-09-06,3,Automático
302,Ford,Fiesta,2008,172442,2024-08-24,11,Manual
303,Jeep,Wrangler,2021,160229,2024-09-02,15,Manual
304,Mitsubishi,Pajero,2016,91648,2024-07-31,6,Manual
305,Hyundai,Kona,2011,150579,2024-08-26,13,Manual
306,Ford,Explorer,2007,234675,2024-08-23,15,Manual
307,Volkswagen,Arteon,2008,237803,2024-08-11,9,Automático
308,Mercedes-Benz,GLA,2012,40615,2024-08-04,4,Manual
309,Volkswagen,Up!,2018,67914,2024-08-29,4,Manual
310,Peugeot,2008,2012,256505,2024-08-26,9,Automático
311,Renault,Kangoo,2009,247968,2024-09-01,19,Manual
312,Renault,Logan,2021,274365,2024-08-26,21,Manual
313,Volkswagen,Jetta,2011,255220,2024-08-12,9,Automático
314,Toyota,Camry,2015,178721,2024-08-05,7,Automático
315,Hyundai,Creta,2009,264320,2024-08-31,19,Manual
316,Volkswagen,Up!,2011,23792,2024-03-13,1,Manual
317,Ford,Mustang,2022,108962,2024-08-11,7,Manual
318,Chevrolet,S10,2014,56855,2024-07-12,2,Automático
319,Jeep,Wrangler,2020,201942,2024-09-04,17,Manual
320,Fiat,Mobi,2017,53977,2024-03-14,1,Automático
321,Hyundai,Santa Fe,2015,221805,2024-07-27,7,Automático
322,Peugeot,2008,2010,249719,2024-08-30,16,Manual
323,Toyota,C-HR,2016,282582,2024-09-02,26,Manual
324,Nissan,Rogue,2007,140492,2024-08-23,4,Automático
325,Ford,Mustang,2022,85681,2024-08-31,8,Manual
326,Fiat,Strada,2008,34679,2024-07-11,2,Manual
327,Mercedes-Benz,GLE,2007,189109,2024-08-08,7,Automático
328,Volkswagen,Gol,2016,231125,2024-08-15,9,Automático
329,Mitsubishi,Outlander Sport,2015,53220,2024-08-22,1,Automático
330,Peugeot,301,2012,185750,2024-09-04,7,Automático
331,Chevrolet,Sonic,2009,174219,2024-08-02,6,Automático
332,Nissan,Titan,2023,248665,2024-08-18,9,Automático
333,Peugeot,5008,2021,58538,2024-05-29,2,Automático
334,Ford,Ranger,2009,299311,2024-09-04,19,Manual
335,Honda,HR-V,2016,222837,2024-09-02,17,Manual
336,BMW,X1,2019,127488,2024-08-29,4,Automático
337,Kia,Stonic,2021,218545,2024-08-23,7,Automático
338,Toyota,Camry,2008,256508,2024-08-15,10,Automático
339,Subaru,Outback,2017,114672,2024-07-17,4,Automático
340,Ford,Edge,2020,37878,2024-06-12,1,Automático
341,Nissan,Kicks,2019,124200,2024-08-13,9,Manual
342,BMW,Z4,2020,67603,2024-07-21,2,Automático
343,Jeep,Renegade,2022,285075,2024-08-24,21,Manual
344,Chevrolet,Tracker,2016,188689,2024-08-08,7,Automático
345,BMW,X1,2021,59933,2024-07-28,4,Manual
346,Volkswagen,Touareg,2019,235795,2024-09-04,17,Manual
347,Chevrolet,Cobalt,2016,202549,2024-08-22,8,Automático
348,Kia,Sorento,2013,130494,2024-08-28,10,Manual
349,Ford,Mustang,2016,12837,2024-09-04,1,Automático
350,Nissan,Kicks,2017,93493,2024-08-28,7,Manual
351,Kia,Seltos,2012,218187,2024-08-03,8,Automático
352,Honda,Accord,2013,49341,2024-08-30,1,Automático
353,Nissan,Frontier,2014,274230,2024-08-29,20,Manual
354,Renault,Zoe,2008,88711,2024-08-20,2,Automático
355,Mercedes-Benz,GLC,2021,42328,2024-08-23,1,Automático
356,Jeep,Compass,2014,161381,2024-09-07,13,Manual
357,Honda,WR-V,2022,215034,2024-08-06,7,Automático
358,Volkswagen,Amarok,2008,144957,2024-08-23,5,Automático
359,Ford,F-150,2014,254476,2024-09-03,10,Automático
360,Chevrolet,Cobalt,2016,59850,2024-07-13,5,Manual
361,Subaru,XV,2015,42550,2024-04-06,1,Automático
362,Honda,Odyssey,2020,81093,2024-09-03,2,Automático
363,Hyundai,Kona,2015,241002,2024-08-31,8,Automático
364,Jeep,Liberty,2014,131368,2024-08-15,9,Manual
365,Fiat,Toro,2012,58987,2024-04-03,1,Automático
366,Renault,Mégane,2017,267383,2024-08-09,9,Automático
367,Honda,Odyssey,2015,219029,2024-09-08,19,Manual
368,Renault,Talisman,2020,122575,2024-08-10,9,Manual
369,BMW,X1,2012,219338,2024-08-21,18,Manual
370,Mercedes-Benz,CLA,2017,37525,2024-04-12,1,Automático
371,Hyundai,Creta,2022,114663,2024-07-01,4,Automático
372,Toyota,Land Cruiser,2017,130558,2024-08-04,4,Automático
373,Chevrolet,Spin,2018,42240,2024-08-14,4,Manual
374,BMW,X3,2008,161473,2024-09-03,15,Manual
375,Fiat,Strada,2017,80068,2024-08-06,2,Automático
376,Peugeot,3008,2015,126472,2024-08-19,12,Manual
377,Ford,Edge,2010,181641,2024-09-04,6,Automático
378,Kia,Optima,2012,76490,2024-05-20,2,Automático
379,Jeep,Renegade,2022,169408,2024-08-14,5,Automático
380,Ford,Mustang,2022,136923,2024-07-17,5,Automático
381,Renault,Captur,2023,40843,2024-07-04,3,Manual
382,Hyundai,Elantra,2017,280618,2024-09-08,11,Automático
383,Jeep,Grand Cherokee,2009,285526,2024-09-08,26,Manual
384,Peugeot,Partner,2009,128468,2024-08-08,4,Automático
385,Mercedes-Benz,GLC,2022,291216,2024-08-27,11,Automático
386,Toyota,Vios,2018,198933,2024-07-27,6,Automático
387,Toyota,Corolla,2007,147912,2024-07-03,4,Automático
388,Honda,Odyssey,2017,73573,2024-06-14,2,Automático
389,Toyota,Land Cruiser,2023,286303,2024-09-08,26,Manual
390,Renault,Logan,2013,29076,2024-04-07,1,Manual
391,Mitsubishi,Lancer,2013,133709,2024-08-09,5,Automático
392,Honda,Fit,2015,195482,2024-08-23,6,Automático
393,Renault,Clio,2021,294609,2024-09-05,22,Manual
394,Mitsubishi,L200,2011,276430,2024-08-29,9,Automático
395,BMW,530i,2022,76147,2024-08-10,3,Automático
396,Ford,Focus,2011,182929,2024-08-18,14,Manual
397,Fiat,Bravo,2007,139414,2024-08-04,9,Manual
398,Hyundai,Tucson,2015,201170,2024-08-23,13,Manual
399,Subaru,Legacy,2021,11242,2024-07-16,2,Manual
400,Honda,WR-V,2018,292731,2024-09-08,10,Automático
401,Fiat,Strada,2021,172615,2024-09-03,13,Manual
402,Chevrolet,Cobalt,2021,295559,2024-08-30,27,Manual
403,Mercedes-Benz,C-Class,2014,154242,2024-09-07,5,Automático
404,Volkswagen,Touareg,2016,44681,2024-07-06,2,Manual
405,Toyota,Corolla,2022,164787,2024-08-02,5,Automático
406,Hyundai,i30,2022,132275,2024-09-04,5,Automático
407,Honda,Accord,2022,259630,2024-08-17,10,Automático
408,Kia,Sorento,2015,50858,2024-07-20,4,Manual
409,Renault,Captur,2014,199902,2024-08-11,7,Automático
410,Honda,WR-V,2017,226382,2024-09-02,17,Manual
411,Peugeot,508,2022,148050,2024-07-15,5,Automático
412,Subaru,Crosstrek,2021,148560,2024-08-09,10,Manual
413,Ford,F-150,2013,168441,2024-09-01,15,Manual
414,Subaru,XV,2021,193776,2024-09-04,14,Manual
415,Honda,CR-V,2011,299246,2024-08-25,9,Automático
416,Mitsubishi,Galant,2016,138567,2024-08-15,11,Manual
417,Kia,Carnival,2008,234829,2024-09-07,15,Manual
418,Renault,Duster,2010,238954,2024-08-31,23,Manual
419,Volkswagen,Gol,2012,195855,2024-08-25,16,Manual
420,Subaru,WRX,2009,277532,2024-08-27,21,Manual
421,Volkswagen,Arteon,2016,44862,2024-07-18,4,Manual
422,Subaru,Tribeca,2018,55587,2024-08-20,3,Manual
423,BMW,M3,2018,188803,2024-08-28,13,Manual
424,Kia,Seltos,2022,103073,2024-09-08,10,Manual
425,Nissan,March,2010,36106,2024-06-08,2,Manual
426,Peugeot,Expert,2020,250646,2024-09-03,23,Manual
427,Hyundai,Sonata,2008,67603,2024-08-05,6,Manual
428,BMW,X5,2022,121901,2024-08-07,4,Automático
429,Kia,Stonic,2017,196157,2024-08-21,14,Manual
430,Jeep,Renegade,2012,204391,2024-09-06,14,Manual
431,Kia,Sportage,2016,137632,2024-08-16,10,Manual
432,Nissan,March,2017,283683,2024-09-07,11,Automático
433,Fiat,Uno,2023,250388,2024-08-20,17,Manual
434,Renault,Logan,2013,161798,2024-08-28,6,Automático
435,Chevrolet,Onix,2023,268183,2024-08-31,26,Manual
436,Subaru,WRX,2009,189080,2024-08-23,14,Manual
437,Honda,Insight,2011,112010,2024-09-01,10,Manual
438,Hyundai,Elantra,2021,95817,2024-08-04,3,Automático
439,Mitsubishi,Galant,2021,299082,2024-08-23,9,Automático
440,Kia,Carnival,2016,42369,2024-09-05,1,Automático
441,Chevrolet,Spin,2022,215994,2024-08-27,7,Automático
442,BMW,X3,2010,88336,2024-07-30,6,Manual
443,Fiat,Toro,2016,49161,2024-07-19,1,Automático
444,Mercedes-Benz,C-Class,2014,66351,2024-08-21,4,Manual
445,Peugeot,301,2007,167989,2024-08-15,12,Manual
446,Jeep,Patriot,2010,90555,2024-06-15,3,Automático
