Problemas,Frases
Alternador com defeito,Sinto que a energia elétrica do carro está muito baixa e o carro está fazendo um barulho estranho.
Alternador com defeito,"Os faróis do carro estão fracos e a luz da bateria não apaga, mesmo depois de dirigir."
Alternador com defeito,O carro está com dificuldades para manter a energia elétrica e a luz da bateria fica piscando.
Alternador com defeito,A bateria está com problemas e os acessórios elétricos estão falhando.
Alternador com defeito,O carro faz um barulho estranho ao ligar e a luz da bateria não apaga.
Falta de óleo no motor,A luz de óleo no painel acendeu e não apagou.
Falta de óleo no motor,O motor está fazendo um barulho estranho e parece seco.
Falta de óleo no motor,Vejo uma mancha de óleo debaixo do carro.
Falta de óleo no motor,O carro está fazendo um ruído alto e a luz de óleo está acesa.
Falta de óleo no motor,O motor está ruidoso e a luz de óleo não apaga.
Falta de óleo no motor,"O carro está superaquecendo, pode ser falta de óleo."
Falta de óleo no motor,Sinto um cheiro de queimado vindo do motor.
Falta de óleo no motor,A luz de óleo está piscando e o motor está estranho.
Falta de óleo no motor,O motor parece estar mais barulhento do que o normal.
Falta de óleo no motor,O painel está mostrando uma luz de óleo e o carro está engasgando.
Falta de óleo no motor,"Quando ligo o carro, ele está fazendo um barulho estranho e a luz de óleo está acesa."
Falta de óleo no motor,O motor está aquecendo mais rápido e a luz de óleo está ligada.
Falta de óleo no motor,Há um cheiro forte de óleo queimado e a luz de óleo não apaga.
Falta de óleo no motor,O carro está emitindo um ruído estranho e a luz de óleo no painel está acesa.
Falta de óleo no motor,A luz de óleo está piscando e o motor está com um som anormal.
Falta de óleo no motor,O carro está com um cheiro forte de queimado e a luz de óleo está acesa.
Falta de óleo no motor,O motor está mais barulhento e a luz de óleo continua acesa.
Falta de óleo no motor,"Quando ligo o carro, o motor faz um barulho e a luz de óleo está acesa."
Falta de óleo no motor,A luz de óleo no painel está acesa e o motor está superaquecendo.
Falta de óleo no motor,O carro está com um cheiro forte de queimado e a luz de óleo está piscando.
Falta de óleo no motor,O motor está com um barulho estranho e a luz de óleo está ligada.
Falta de óleo no motor,A luz de óleo está acesa e o motor parece estar com problemas.
Falta de óleo no motor,Vejo uma poça de óleo debaixo do carro e o motor está ruidoso.
Falta de óleo no motor,O carro está superaquecendo e a luz de óleo está acesa.
Falta de óleo no motor,A luz de óleo está piscando e o carro está engasgando.
Falta de óleo no motor,O motor está barulhento e a luz de óleo continua ligada.
Falta de óleo no motor,Sinto um cheiro forte de óleo queimado e a luz de óleo está acesa.
Falta de óleo no motor,O carro faz um barulho estranho e a luz de óleo no painel está acesa.
Falta de óleo no motor,A luz de óleo não apaga e o motor está superaquecendo.
Falta de óleo no motor,O carro está com um cheiro de queimado e a luz de óleo está ligada.
Falta de óleo no motor,O motor está fazendo um ruído alto e a luz de óleo está piscando.
Falta de óleo no motor,A luz de óleo está acesa e o carro está com dificuldade para acelerar.
Falta de óleo no motor,O carro está com um cheiro forte de óleo queimado e a luz de óleo está acesa.
Falta de óleo no motor,O motor está ruidoso e a luz de óleo não apaga.
Falta de óleo no motor,"Quando ligo o carro, ele está com um barulho estranho e a luz de óleo está acesa."
Falta de óleo no motor,A luz de óleo está acesa e o motor parece estar mais quente.
Falta de óleo no motor,O carro está superaquecendo e a luz de óleo está piscando.
Falta de óleo no motor,O motor está fazendo um barulho estranho e a luz de óleo está acesa.
Falta de óleo no motor,O painel está mostrando uma luz de óleo e o carro está com dificuldades.
Falta de óleo no motor,A luz de óleo está piscando e o motor está com um som anormal.
Falta de óleo no motor,O carro está com um cheiro forte de queimado e a luz de óleo está acesa.
Falta de óleo no motor,O motor está barulhento e a luz de óleo não apaga.
Falta de óleo no motor,O carro faz um barulho estranho e a luz de óleo está acesa.
Falta de óleo no motor,A luz de óleo está piscando e o motor parece estar superaquecendo.
Falta de óleo no motor,O carro está superaquecendo e a luz de óleo está ligada.
Falta de óleo no motor,O motor está ruidoso e a luz de óleo não apaga.
Falta de óleo no motor,A luz de óleo está acesa e o carro está com dificuldades para acelerar.
Falta de óleo no motor,O carro está com um cheiro de queimado e a luz de óleo está acesa.
Falta de óleo no motor,O motor está com um barulho estranho e a luz de óleo está ligada.
Radiador com vazamento,Notei uma poça de líquido debaixo do carro.
Radiador com vazamento,O carro está superaquecendo muito rapidamente.
Radiador com vazamento,"Tem fumaça saindo do capô, parece que o radiador está vazando."
Radiador com vazamento,Perdi muito líquido de arrefecimento recentemente.
Radiador com vazamento,O motor está esquentando muito quando dirijo por mais tempo.
Radiador com vazamento,Sinto um cheiro forte de líquido queimado vindo do motor.
Radiador com vazamento,"Parece que o radiador está com vazamento, está sempre com pouca água."
Radiador com vazamento,O carro superaquece quando fico parado no trânsito.
Radiador com vazamento,Vi uma mancha de líquido no chão da garagem.
Radiador com vazamento,O carro está esquentando demais em viagens longas.
Radiador com vazamento,"Sinto um cheiro estranho, pode ser o radiador vazando."
Radiador com vazamento,O motor está muito quente e o painel está mostrando superaquecimento.
Radiador com vazamento,Notei que o nível de fluido do radiador está sempre baixo.
Radiador com vazamento,O carro está soltando vapor do capô e está esquentando muito.
Radiador com vazamento,O líquido de arrefecimento está se esgotando rapidamente.
Radiador com vazamento,Sinto um cheiro de fluido queimado quando estou dirigindo.
Radiador com vazamento,A temperatura do motor está sempre alta e o líquido do radiador está sumindo.
Radiador com vazamento,O carro está com o motor esquentando mesmo em trajetos curtos.
Radiador com vazamento,A parte de baixo do carro está sempre úmida por causa do fluido de radiador.
Radiador com vazamento,O carro está superaquecendo e eu vejo vapor saindo do capô.
Radiador com vazamento,A água do radiador está vazando e o motor está esquentando muito.
Radiador com vazamento,O carro está fazendo um barulho estranho e o painel mostra temperatura alta.
Radiador com vazamento,Percebi que o carro está com o motor superaquecendo mais frequentemente.
Radiador com vazamento,A temperatura do motor sobe rápido e eu vejo líquido no chão.
Radiador com vazamento,O carro está esquentando e tem uma poça de fluido sob ele.
Radiador com vazamento,O motor está com cheiro de queimado e o radiador está com vazamento.
Radiador com vazamento,O carro está fazendo barulho e a temperatura está muito alta.
Radiador com vazamento,Notei que a água do radiador está vazando e o motor está quente.
Radiador com vazamento,Sinto que o carro está superaquecendo e o líquido de arrefecimento está baixo.
Radiador com vazamento,O carro está com problemas de superaquecimento e tem líquido na garagem.
Radiador com vazamento,O fluido de arrefecimento está baixo e o motor está esquentando muito.
Radiador com vazamento,Sinto um cheiro forte de líquido queimado e o carro está superaquecendo.
Radiador com vazamento,O radiador parece estar vazando e o motor está muito quente.
Radiador com vazamento,O carro está superaquecendo e a água do radiador está se esgotando.
Radiador com vazamento,O nível de líquido do radiador está sempre baixo e o carro está esquentando.
Radiador com vazamento,O motor está quente e tem uma poça de líquido sob o carro.
Radiador com vazamento,O carro está com problemas de temperatura e o radiador está com vazamento.
Radiador com vazamento,A água do radiador está vazando e o carro está fazendo barulho.
Radiador com vazamento,O carro está esquentando e eu vejo um fluido no chão da garagem.
Radiador com vazamento,Sinto que o motor está superaquecendo e há um cheiro de líquido queimado.
Radiador com vazamento,O radiador está com vazamento e o carro está esquentando muito.
Radiador com vazamento,Percebi uma poça de líquido no chão e o motor está esquentando demais.
Radiador com vazamento,O carro está esquentando rapidamente e o fluido de arrefecimento está baixo.
Radiador com vazamento,A temperatura do motor está sempre alta e o radiador está vazando.
Radiador com vazamento,Sinto um cheiro de queimado e vejo líquido vazando do radiador.
Radiador com vazamento,O carro está superaquecendo e há um vazamento de líquido no chão.
Radiador com vazamento,A água do radiador está sempre baixa e o motor está esquentando.
Radiador com vazamento,O carro está com problemas de superaquecimento e o fluido está vazando.
Radiador com vazamento,Sinto que o motor está muito quente e o radiador está com vazamento.
Radiador com vazamento,O carro está fazendo barulho e o radiador parece estar com problema de vazamento.
Radiador com vazamento,Notei uma mancha de fluido e o motor está esquentando demais.
Radiador com vazamento,O carro está superaquecendo e há uma poça de líquido embaixo dele.
Correia dentada desgastada,O carro está fazendo um barulho estranho quando ligo.
Correia dentada desgastada,Parece que o motor está pulando e não funciona direito.
Correia dentada desgastada,O carro não está respondendo bem quando acelero.
Correia dentada desgastada,Notei que o motor está tremendo muito.
Correia dentada desgastada,O carro está engasgando e não está pegando como antes.
Correia dentada desgastada,Sinto um som alto e irregular vindo do motor.
Correia dentada desgastada,O carro está com dificuldade para manter a marcha lenta.
Correia dentada desgastada,Parece que o carro está vibrando mais do que o normal.
Correia dentada desgastada,"Quando acelero, o carro não parece ter a mesma potência."
Correia dentada desgastada,O motor está com um barulho constante e incômodo.
Correia dentada desgastada,O carro está superaquece facilmente e não anda bem.
Correia dentada desgastada,O carro está com um desempenho estranho e parece fraco.
Correia dentada desgastada,Sinto que o carro está meio esquisito ao acelerar.
Correia dentada desgastada,O motor está fazendo um som de chiado quando o carro está em movimento.
Correia dentada desgastada,O carro não acelera direito e parece que algo está errado.
Correia dentada desgastada,O carro está parando de repente e não consegue manter a velocidade.
Correia dentada desgastada,Há um barulho incomum que nunca ouvi antes.
Correia dentada desgastada,O carro está com um ruído que não é normal quando está em marcha.
Correia dentada desgastada,"Parece que o carro não está funcionando como deveria, especialmente ao acelerar."
Correia dentada desgastada,O carro está com um desempenho estranho e não anda como costumava andar.O carro está fazendo um barulho estranho quando ligo.
Correia dentada desgastada,Parece que o motor está pulando e não funciona direito.
Correia dentada desgastada,O carro não está respondendo bem quando acelero.
Correia dentada desgastada,Notei que o motor está tremendo muito.
Correia dentada desgastada,O carro está engasgando e não está pegando como antes.
Correia dentada desgastada,Sinto um som alto e irregular vindo do motor.
Correia dentada desgastada,O carro está com dificuldade para manter a marcha lenta.
Correia dentada desgastada,Parece que o carro está vibrando mais do que o normal.
Correia dentada desgastada,"Quando acelero, o carro não parece ter a mesma potência."
Correia dentada desgastada,O motor está com um barulho constante e incômodo.
Correia dentada desgastada,O carro está superaquece facilmente e não anda bem.
Correia dentada desgastada,O carro está com um desempenho estranho e parece fraco.
Correia dentada desgastada,Sinto que o carro está meio esquisito ao acelerar.
Correia dentada desgastada,O motor está fazendo um som de chiado quando o carro está em movimento.
Correia dentada desgastada,O carro não acelera direito e parece que algo está errado.
Correia dentada desgastada,O carro está parando de repente e não consegue manter a velocidade.
Correia dentada desgastada,Há um barulho incomum que nunca ouvi antes.
Correia dentada desgastada,O carro está com um ruído que não é normal quando está em marcha.
Correia dentada desgastada,"Parece que o carro não está funcionando como deveria, especialmente ao acelerar."
Correia dentada desgastada,O carro está com um desempenho estranho e não anda como costumava andar.
Correia dentada desgastada,"Quando acelero, sinto um tranco estranho."
Correia dentada desgastada,O motor está fazendo um som esquisito que não tinha antes.
Correia dentada desgastada,O carro está com dificuldade para subir ladeira.
Correia dentada desgastada,O carro parece estar com problemas ao tentar acelerar.
